Filename,WC_all,Concreteness,Brysbaert_Concreteness,Familiarity,Imageability,Meaningfulness,polarity,subjectivity
1n,60,378.5909091,2.685862069,571.1666667,412.6666667,445.6666667,0.6375,0.78125
2n,81,324.6538462,2.625,551.4666667,341.6333333,352.6111111,0.233333333,0.8
3n,88,385.4615385,3.044054054,572.0357143,420.9642857,422.16,-0.139285714,0.473214286
4n,72,385.6086957,2.9925,556.3214286,427.1071429,427.5652174,0.133585859,0.358585859
5n,73,389.2307692,3.3484375,568.2592593,415.5555556,442.4,-0.062987013,0.498376623
6n,86,335.3181818,2.618974359,549.4285714,384.2857143,393.9,-0.208333333,0.517361111
7n,102,371.1333333,2.981428571,586.6774194,408.0967742,446.8518519,0.302116402,0.606746032
8n,84,384.96875,3.088541667,577.9705882,416.2941176,429.1071429,-0.008531746,0.623412698
9n,92,381.40625,3.284166667,551.6111111,419.25,415.8333333,0.142857143,0.498412698
10n,78,343.2222222,2.699117647,568.3684211,383.7368421,426.3125,0.125297619,0.358333333
11n,103,346.1515152,2.890851064,567.974359,377.4358974,415.8,-0.019444444,0.519444444
12n,137,415.2333333,3.356962025,579.4923077,433.0461538,436.3207547,0.092857143,0.601016865
13n,127,369.6315789,3.065166667,575.974359,408.6666667,411.1666667,0.051648352,0.525518926
14n,104,312.15625,2.5374,559.2571429,346.8,368.16,0.35,0.624503968
15n,115,412.59375,3.184285714,559.8055556,445.9166667,441.9655172,-0.032954545,0.4625
16n,99,397.6206897,3.17,574.6333333,425.9,416.3846154,0.178888889,0.577777778
17n,97,385.2777778,3.036382979,563.5952381,426.5714286,433.9411765,0.135267857,0.476488095
18n,171,359.5636364,2.811325301,577.3125,393.125,427.3913043,0.179090909,0.450634921
19n,87,427.9714286,3.219361702,542.5641026,448.8461538,433.4545455,0.064285714,0.603968254
20n,110,424.1818182,3.483,575.0857143,456.7428571,445.7666667,0.66,0.523333333
21n,85,354.2962963,2.576744186,578.0967742,379.8387097,419.84,0.16171875,0.532291667
22n,100,386.56,3.1876,566.9615385,402.5769231,420.3478261,-0.050793651,0.561111111
23n,122,344.5526316,2.510338983,565.7446809,373.1489362,402.3030303,0.0109375,0.5625
24n,124,375.7179487,2.803166667,564.1590909,417.1363636,424.0625,0.14375,0.469791667
25n,128,357,2.779253731,588.5217391,395.9130435,409.8684211,0.038095238,0.59015873
26n,135,353.2888889,2.73483871,582.38,384.9,410.7954545,-0.048266807,0.500665266
27n,96,403.1290323,3.150434783,564.0526316,414.8684211,432.625,0.23495671,0.561363636
28n,119,322.1025641,2.409137931,555.0851064,364.212766,397.6571429,-0.202210884,0.531122449
29n,115,356.0930233,2.823333333,575.2826087,385.0869565,401.9090909,0.092142857,0.490357143
30n,119,412.3125,3.165384615,555.8888889,455.6388889,445.6129032,0.080357143,0.522222222
31n,122,369.5416667,3.035535714,582.46,394.02,408.2666667,0.160714286,0.50952381
32n,126,357.0512821,2.756949153,589.2,384.4444444,405.5555556,0.072743056,0.586111111
